name,price,unit,url,page,norm_name
Organic Crimini Mushrooms,$2.69,/8 Oz,https://www.traderjoes.com/home/products/pdp/organic-crimini-mushrooms-053437,1,mushroom
Organic Sweet Potatoes,$4.99,/3 Lb,https://www.traderjoes.com/home/products/pdp/organic-sweet-potatoes-033372,1,potato
Fresh Fennel,$2.49,/20 Oz,https://www.traderjoes.com/home/products/pdp/fresh-fennel-095748,1,fennel
Trimmed Leeks,$2.49,/6 Oz,https://www.traderjoes.com/home/products/pdp/trimmed-leeks-091030,1,leek
Steamed & Peeled Baby Beets,$2.29,/8 Oz,https://www.traderjoes.com/home/products/pdp/steamed-peeled-baby-beets-072774,1,beet
Sugar Sweet Melon,$3.49,/1 Each,https://www.traderjoes.com/home/products/pdp/sugar-sweet-melon-095369,1,melon
Saturn Peaches,$3.99,/19 Oz,https://www.traderjoes.com/home/products/pdp/saturn-peaches-096529,1,peach
Fruitful Medley,$3.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/fruitful-medley-054991,1,medley
Organic Baby Red Butter Lettuce & Baby Arugula,$2.49,/6 Oz,https://www.traderjoes.com/home/products/pdp/organic-baby-red-butter-lettuce-baby-arugula-080626,1,arugula
Seedless Lemons,$2.99,/2 Lb,https://www.traderjoes.com/home/products/pdp/seedless-lemons-074895,1,lemon
Hass Avocado,$1.29,/1 Each,https://www.traderjoes.com/home/products/pdp/hass-avocado-093474,1,avocado
Ataulfo Mangos,$5.99,/1 Each,https://www.traderjoes.com/home/products/pdp/ataulfo-mangos-061226,1,mango
Organic Avocados 4 count,$4.99,/1 Each,https://www.traderjoes.com/home/products/pdp/organic-avocados-4-count-166061,1,count
Avocados 4 count,$3.99,/1 Each,https://www.traderjoes.com/home/products/pdp/avocados-4-count-112550,1,count
Leaves of Little Gem Lettuce,$2.99,/6 Oz,https://www.traderjoes.com/home/products/pdp/leaves-of-little-gem-lettuce-080012,1,lettuce
Organic Tuscan Kale,$2.79,/10 Oz,https://www.traderjoes.com/home/products/pdp/organic-tuscan-kale-098082,2,kale
Sugar Bee® Apples,$4.99,/2 Lb,https://www.traderjoes.com/home/products/pdp/sugar-bee-apples-079142,2,apple
Delicata Squash,$1.49,/1 Each,https://www.traderjoes.com/home/products/pdp/delicata-squash-050661,2,squash
Spaghetti Squash,$2.99,/1 Each,https://www.traderjoes.com/home/products/pdp/spaghetti-squash-091769,2,squash
Sugar Bee® Apple,$1.29,/1 Each,https://www.traderjoes.com/home/products/pdp/sugar-bee-apple-078597,2,apple
Kumato Brown Tomatoes,$3.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/kumato-brown-tomatoes-095153,2,tomato
Yellow Squash,$2.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/yellow-squash-032039,2,squash
Organic Beets,$1.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/organic-beets-053681,2,beet
Little Leaf Farms Baby Crispy Green Leaf,$2.99,/4 Oz,https://www.traderjoes.com/home/products/pdp/little-leaf-farms-baby-crispy-green-leaf-079710,2,leaf
Fresh Cut Pineapple Chunks,$3.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/fresh-cut-pineapple-chunks-039884,2,chunk
Organic English Cucumber,$2.49,/1 Each,https://www.traderjoes.com/home/products/pdp/organic-english-cucumber-094499,2,cucumber
Stir Fry Veggie Blend,$3.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/stir-fry-veggie-blend-077922,2,blend
Josie's Mandarins,$3.49,/2 Lb,https://www.traderjoes.com/home/products/pdp/josies-mandarins-051316,2,mandarin
Fresh Cranberries,$2.29,/12 Oz,https://www.traderjoes.com/home/products/pdp/fresh-cranberries-022295,2,cranberry
Organic Cranberries,$3.29,/12 Oz,https://www.traderjoes.com/home/products/pdp/organic-cranberries-075621,2,cranberry
Mirepoix,$3.49,/14.5 Oz,https://www.traderjoes.com/home/products/pdp/mirepoix-090741,3,mirepoix
Organic Red Butter Lettuce,$2.49,/6 Oz,https://www.traderjoes.com/home/products/pdp/organic-red-butter-lettuce-077284,3,lettuce
Lil' Tiger Stripe Pumpkin,$1.49,/1 Each,https://www.traderjoes.com/home/products/pdp/lil-tiger-stripe-pumpkin-095585,3,pumpkin
Fall Fantasy Pumpkin,$8.99,/1 Each,https://www.traderjoes.com/home/products/pdp/fall-fantasy-pumpkin-050097,3,pumpkin
Orange Pumpkin,$4.99,/1 Each,https://www.traderjoes.com/home/products/pdp/orange-pumpkin-047002,3,pumpkin
Cut Butternut Squash,$3.99,/20 Oz,https://www.traderjoes.com/home/products/pdp/cut-butternut-squash-091755,3,squash
Jumbo Yellow Onions,$1.19,/1 Each,https://www.traderjoes.com/home/products/pdp/jumbo-yellow-onions-095520,3,onion
Cantaloupe,$3.49,/1 Each,https://www.traderjoes.com/home/products/pdp/cantaloupe-020669,3,cantaloupe
Little Gem Lettuce,$3.49,/1 Each,https://www.traderjoes.com/home/products/pdp/little-gem-lettuce-076869,3,lettuce
Nectarines,$3.99,/2 Lb,https://www.traderjoes.com/home/products/pdp/nectarines-058039,3,nectarine
Organic Romaine & Chicory Blend,$2.49,/7 Oz,https://www.traderjoes.com/home/products/pdp/organic-romaine-chicory-blend-076917,3,blend
Romaine Hearts,$2.99,/18 Oz,https://www.traderjoes.com/home/products/pdp/romaine-hearts-037786,3,heart
Yellow Peaches,$3.99,/2 Lb,https://www.traderjoes.com/home/products/pdp/yellow-peaches-058040,3,peach
Fresh Figs,$4.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/fresh-figs-053210,3,fig
Red and Green Grapes Duo,$6.49,/2 Lb,https://www.traderjoes.com/home/products/pdp/red-and-green-grapes-duo-091984,3,duo
Cut and Peeled Carrots,$1.99,/24 Oz,https://www.traderjoes.com/home/products/pdp/cut-and-peeled-carrots-070588,4,carrot
Organic Herb Salad Mix,$2.69,/5 Oz,https://www.traderjoes.com/home/products/pdp/organic-herb-salad-mix-050066,4,mix
Dutch Yellow Baby Potatoes,$3.79,/24 Oz,https://www.traderjoes.com/home/products/pdp/dutch-yellow-baby-potatoes-016272,4,potato
Organic Baby Spinach,$2.29,/6 Oz,https://www.traderjoes.com/home/products/pdp/organic-baby-spinach-032603,4,spinach
Jicama Sticks,$3.49,/9.5 Oz,https://www.traderjoes.com/home/products/pdp/jicama-sticks-055482,4,stick
Organic Tri-Color Bell Peppers,$4.99,/20 Oz,https://www.traderjoes.com/home/products/pdp/organic-tri-color-bell-peppers-095882,4,pepper
Cruciferous Crunch Collection,$2.79,/10 Oz,https://www.traderjoes.com/home/products/pdp/cruciferous-crunch-collection-052105,4,collection
Cape Gooseberries,$3.49,/1 Each,https://www.traderjoes.com/home/products/pdp/cape-gooseberries-091624,4,gooseberry
Organic Brussels Sprouts,$3.69,/14 Oz,https://www.traderjoes.com/home/products/pdp/organic-brussels-sprouts-050810,4,sprout
Shiitake Mushrooms,$3.49,/4 Oz,https://www.traderjoes.com/home/products/pdp/shiitake-mushrooms-015688,4,mushroom
Organic Carrots of Many Colors,$2.99,/2 Lb,https://www.traderjoes.com/home/products/pdp/organic-carrots-of-many-colors-051475,4,color
Green Onions,$1.29,/6 Oz,https://www.traderjoes.com/home/products/pdp/green-onions-044168,4,onion
Organic Mini Sweet Peppers,$3.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/organic-mini-sweet-peppers-057202,4,pepper
Baby Shanghai Bok Choy,$2.99,/10 Oz,https://www.traderjoes.com/home/products/pdp/baby-shanghai-bok-choy-098253,4,choy
Russet Potatoes,$0.99,/1 Each,https://www.traderjoes.com/home/products/pdp/russet-potatoes-099095,4,potato
Sugar Snap Peas,$2.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/sugar-snap-peas-030312,5,pea
Organic Red Bell Peppers,$3.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/organic-red-bell-peppers-091328,5,pepper
Portabella Mushrooms,$3.49,/6 Oz,https://www.traderjoes.com/home/products/pdp/portabella-mushrooms-012659,5,mushroom
Organic Baby Lettuce Mix,$2.49,/5 Oz,https://www.traderjoes.com/home/products/pdp/organic-baby-lettuce-mix-032595,5,mix
Organic Arugula,$2.49,/7 Oz,https://www.traderjoes.com/home/products/pdp/organic-arugula-032591,5,arugula
Super Sweet Fresh Corn,$4.49,/20 Oz,https://www.traderjoes.com/home/products/pdp/super-sweet-fresh-corn-009286,5,corn
Broccoli & Kale Slaw,$3.49,/11 Oz,https://www.traderjoes.com/home/products/pdp/broccoli-kale-slaw-055386,5,slaw
Pineapple,$2.99,/1 Each,https://www.traderjoes.com/home/products/pdp/pineapple-059817,5,pineapple
Mangos,$1.99,/1 Each,https://www.traderjoes.com/home/products/pdp/mangos-078963,5,mango
Campari Tomatoes,$3.79,/1 Lb,https://www.traderjoes.com/home/products/pdp/campari-tomatoes-095554,5,tomato
Organic Persian Cucumbers,$2.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/organic-persian-cucumbers-091838,5,cucumber
Organic Coleslaw Mix,$2.49,/9 Oz,https://www.traderjoes.com/home/products/pdp/organic-coleslaw-mix-055824,5,mix
Organic Strawberries 1 Lb,$5.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/organic-strawberries-1-lb-080331,5,lb
Strawberries 2 Lb,$7.99,/2 Lb,https://www.traderjoes.com/home/products/pdp/strawberries-2-lb-078515,5,lb
Strawberries 1 Lb,$4.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/strawberries-1-lb-035878,5,lb
Sweet Potato,$0.99,/1 Each,https://www.traderjoes.com/home/products/pdp/sweet-potato-097997,6,potato
Organic Bananas,$0.29,/1 Each,https://www.traderjoes.com/home/products/pdp/organic-bananas-050116,6,banana
Steamed Lentils,$3.29,/17.63 Oz,https://www.traderjoes.com/home/products/pdp/steamed-lentils-090240,6,lentil
Wild Arugula,$2.29,/7 Oz,https://www.traderjoes.com/home/products/pdp/wild-arugula-092686,6,arugula
Organic Petite Potato Medley,$3.49,/24 Oz,https://www.traderjoes.com/home/products/pdp/organic-petite-potato-medley-062883,6,medley
Ready Veggies,$2.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/ready-veggies-073199,6,veggie
Organic Shredded Kale,$3.99,/10 Oz,https://www.traderjoes.com/home/products/pdp/organic-shredded-kale-065311,6,kale
Cara Cara Navel Oranges,$5.99,/3 Lb,https://www.traderjoes.com/home/products/pdp/cara-cara-navel-oranges-094537,6,orange
Organic Gold Potatoes,$3.99,/3 Lb,https://www.traderjoes.com/home/products/pdp/organic-gold-potatoes-070128,6,potato
Bananas,$0.23,/1 Each,https://www.traderjoes.com/home/products/pdp/bananas-048053,6,banana
Baby Corn,$2.79,/6 Oz,https://www.traderjoes.com/home/products/pdp/baby-corn-073111,6,corn
Les Petites Carrots of Many Colors,$4.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/les-petites-carrots-of-many-colors-057285,6,color
Murasaki Sweet Potatoes,$4.99,/3 Lb,https://www.traderjoes.com/home/products/pdp/murasaki-sweet-potatoes-055283,6,potato
Honeycrisp Apples,$1.29,/1 Each,https://www.traderjoes.com/home/products/pdp/honeycrisp-apples-093872,6,apple
Shelled Edamame,$3.99,/9 Oz,https://www.traderjoes.com/home/products/pdp/shelled-edamame-068709,6,edamame
Sweet Mini Peppers,$3.49,/1 Lb,https://www.traderjoes.com/home/products/pdp/sweet-mini-peppers-065977,7,pepper
Organic Pitted Medjool Dates,$5.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/organic-pitted-medjool-dates-064778,7,date
Persian Cucumbers,$2.49,/1 Lb,https://www.traderjoes.com/home/products/pdp/persian-cucumbers-070625,7,cucumber
Teeny Tiny Avocados 6 Count,$3.99,/1 Each,https://www.traderjoes.com/home/products/pdp/teeny-tiny-avocados-6-count-075444,7,count
